LABEL,SUBLABEL,NAME,DEPT,IMAGE,LINE1,LINE2
Materials and Manufacturing,Energy,Andrew Teixeira ,Chemical Engineering,AndrewTeixeira.png ,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Energy,Aaron Deskins ,Chemical Engineering,AaronDeskins.png ,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Emmanuel Agu,Computer Science,EmmanuelAgu.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Diane Strong,Foisie Business School,DianeStrong.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Bengisu Tulu,Foisie Business School,BengisuTulu.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Sousann Djamasbi,Foisie Business School,SousannDjamasbi.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Sharon Johnson,Foisie Business School,SharonJohnson.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Dmitry Korkin,Computer Science,DmitryKorkin.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Christopher Lambert,Chemical Engineering,ChristopherLambert.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Digital Health (HDI),Carolina Ruiz,Computer Science,CarolinaRuiz.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Healthcare Cyber Physical Systems,Greg Fischer,Mechanical Engineering,GregFischer.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Healthcare Cyber Physical Systems,Yihao Zheng,Mechanical Engineering,YihaoZheng.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,MPI,Brajendra Mishra,Mechanical Engineering,BrajendraMishra.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,MPI,Rick Sisson,Mechanical Engineering,RickSisson.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Advanced Casting & Research Center,Brajendra Mishra,Mechanical Engineering,BrajendraMishra.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Nanomaterials,Nancy Burnham,Physics,NancyBurnham.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Nanomaterials,Pratap Rao ,Mechanical Engineering,PratapRao.png ,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Nanomaterials,Hal Walker,Civil & Environmental Engineering,HalWalker.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Nanomaterials,Jeannine Coburn,Biomedical Engineering,JeannineCoburn.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Nanomaterials,Carrick Eggleston,Civil & Environmental Engineering,CarrickEggleston.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Nanomaterials,Adam Powell,Mechanical Engineering,AdamPowell.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Neuroscience & Neuroengineering,Jean King,Biology & Biotechnology,JeanKing.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Neuroscience & Neuroengineering,Erin Solovey,Computer Science,ErinSolovey.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Neuroscience & Neuroengineering,Adam Lammert,Biomedical Engineering,AdamLammert.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Neuroscience & Neuroengineering,Benjamin Nephew,Biology & Biotechnology,BenjaminNephew.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Neuroscience & Neuroengineering,Angela C Incollingo Rodriguez,Social Science & Policy Studies,AngelaCIncollingoRodriguez.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Health & Biotechnology,Regenerative Medicine & Bio Group,George Pins,Biomedical Engineering,GeorgePins.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Water,Natalie Farny,Biology & Biotechnology,NatalieFarny.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Water,Mike Timko,Chemical Engineering,MikeTimko.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Water,Pratap Rao ,Mechanical Engineering,PratapRao.png ,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Materials and Manufacturing,Water,Hal Walker,Civil & Environmental Engineering,HalWalker.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Robotics,Jing Xiao,Robotics Engineering,JingXiao.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Robotics,Zhi (Jane) Li,Robotics Engineering,ZhiLi.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Robotics,Carlo Pinciroli,Robotics Engineering,CarloPinciroli.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Robotics,Marko Popovic,Robotics Engineering,MarkoPopovic.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Robotics,Jie Fu,Robotics Engineering,JieFu.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Berk Sunar,Electrical & Computer Engineering,BerkSunar.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Craig Shue,Computer Science,CraigShue.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Patrick Scahumont,Electrical & Computer Engineering,PatrickScahumont.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Andrew Clark,Electrical & Computer Engineering,AndrewClark.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Jie Fu,Robotics Engineering,JieFu.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Koksal Mus,Electrical & Computer Engineering,KoksalMus.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Yarkin Doroz,Electrical & Computer Engineering,YarkinDoroz.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Robert Walls,Computer Science,RobertWalls.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Lorenzo DeCarli,Computer Science,LorenzoDeCarli.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Cybersecurity,Randy Paffenroth,Mathematics,RandyPaffenroth.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Intelligent Systems,Rick Brown,Electrical & Computer Engineering,RickBrown.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Intelligent Systems,Randy Paffenroth,Mathematics,RandyPaffenroth.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Autonomous Vehicles,Xinming Huang,Electrical & Computer Engineering,XinmingHuang.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Autonomous Vehicles,Ziming Zhang,Electrical & Computer Engineering,ZimingZhang.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Autonomous Vehicles,Alex Wyglinski,Electrical & Computer Engineering,AlexWyglinski.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Autonomous Vehicles,Ragu Cowlagi,Mechanical Engineering,RaguCowlagi.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Computational Molecular Modeling,N. Aaron Deskins,Chemical Engineering,AaronDeskins.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Computational Molecular Modeling,Tony Dixon,Chemical Engineering,TonyDixon.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Computational Molecular Modeling,Mike Timko,Chemical Engineering,MikeTimko.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Systems Engineering,Shams Virani Bhada,Electrical & Computer Engineering,ShamsViraniBhada.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Systems Engineering,Matthew Amissah,Electrical & Computer Engineering,MatthewAmissah.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Smart Cities,Steven Van Dessel,Civil & Environmental Engineering,StevenVanDessel.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Smart Cities,Shichao Liu,Civil & Environmental Engineering,ShichaoLiu.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Smart Cities,Carrick Eggleston,Civil & Environmental Engineering,CarrickEggleston.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Smart Environments,Sarah Strauss,Social Science & Policy Studies,SarahStrauss.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Smart Environments,Shichao Liu,Civil & Environmental Engineering,ShichaoLiu.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Smart Environments,Sousann Djamasbi,Foisie Business School,SousannDjamasbi.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Learning Sciences,Neil Heffernan,Computer Science,NeilHeffernan.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,User Experience,Randy Paffenroth,Mathematics,RandyPaffenroth.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,User Experience,Sousann Djamasbi,Foisie Business School,SousannDjamasbi.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Data Science,Elke Rundensteiner,Computer Science,ElkeRundensteiner.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Data Science,Randy Paffenroth,Mathematics,RandyPaffenroth.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Data Science,Yanhua Li,Computer Science,YanhuaLi.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Data Science,Carolina Ruiz,Computer Science,CarolinaRuiz.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Albert Simeoni,Fire Protection Engineering,AlbertSimeoni.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,James Urban,Fire Protection Engineering,JamesUrban.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Milosh Puchovsky,Fire Protection Engineering,MiloshPuchovsky.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Carlo Pinciroli,Robotics Engineering,CarloPinciroli.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Yan Wang,Mechanical Engineering,YanWang.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Cagdas Onal,Mechanical Engineering,CagdasOnal.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Jianyu Liang,Mechanical Engineering,JianyuLiang.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Fire Protection,Kehinde Oyewole,Mechanical Engineering,KehindeOyewole.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
Smart World,Robotics,Craig Putnam,Robotics Engineering,CraigPutnam.png,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem
